mID,name,releaseDate,popularity_score,popularity_delta,color,runtime,aspectratio,imdb_rating,grossingUS_CA,grossingUS_CA_OpeningWeekend,grossingWorldwide
16418896,Gotham Knights,,"1,772",617,,,,,,,
9072352,Relic,"July 10, 2020","4,220",207,Color,89,2.39:1,6.0,"1,047,083","192,352","2,902,552"
1885325,Beyond the Darkness,"November 6, 2018",,,Color,95,2.35:1,4.2,,,
1731708,Angel's Friends,"April 12, 2008",,,Color,12,,7.5,,,
0109666,Dream a Little Dream 2,"February 21, 1995",,,Black and White,91,1.33:1,3.7,,,
6873692,Judge Dredd: Mega City One,,,,Color,,,,,,
1620449,Conference of Animals,"October 7, 2010",,,Color,93,2.39:1,4.8,,,"51,883,642"
1686812,The Song of Lunch,"October 8, 2010",,,Color,50,2.35:1,7.4,,,
6967966,Far Cry 5,"March 27, 2018",,,Color,,,8.0,,,
0072886,Doc Savage: The Man of Bronze,June 1975,,,,100,1.85:1,5.3,,,
2365580,"Where'd You Go, Bernadette","August 16, 2019","4,307",768,Color,109,1.85:1,6.5,"9,198,356","3,462,308","11,025,353"
0095016,Die Hard,"July 20, 1988",170,75,Color,132,2.39:1,8.3,"83,844,093","601,851","141,603,197"
5459168,Pustina,"October 30, 2016",,,Color,60,16:9HD,8.0,,,
0089274,The Hills Have Eyes Part II,"August 2, 1985",,,Color,86,1.85:1,3.7,,,
0902290,I Sell the Dead,"January 16, 2009",,,Color,85,2.35:1,6.0,"8,050","3,529","8,050"
3881026,Rendel: Dark Vengeance,"September 22, 2017",,,Color,105,2.35:1,4.6,,,"111,795"
0120689,The Green Mile,"December 10, 1999",147,30,Color,189,1.85:1,8.6,"136,801,374","18,017,152","286,801,374"
0056869,The Birds,"March 29, 1963","1,641",308,Color,119,"1.37:1(original&negativeratio,openmatte)",7.7,,,"53,647"
0078915,The Bugs Bunny/Road-Runner Movie,"September 28, 1979",,,,98,1.85:1,7.3,,,
1551630,Pawn,"September 19, 2013",,,Color,88,2.35:1,5.7,"4,141","2,137","4,141"
15599258,The Co-Ed Killer: Mind of a Monster,"November 1, 2021",,,Color,134,1.78:1,6.4,,,
2041331,SX_Tape,"May 16, 2014",,,Color,82,1.85:1,3.4,,,"4,961"
0038338,The Beast with Five Fingers,"February 8, 1947",,,Black and White,88,1.37:1,6.5,,,
2004420,Neighbors,"May 9, 2014","1,884",406,Color,97,2.35:1,6.3,"150,157,400","49,033,915","270,665,134"
9075388,Measure of Revenge,"March 18, 2022",,,Color,92,,3.6,,,
1900893,Themis,"January 14, 2012",,,Color,129,1.85:1,7.0,,,"1,234,841"
