genre,mID
Thriller,0097770
Drama,14812782
Adventure,0061856
Sci-Fi,0061856
Horror,9652888
Thriller,9652888
Comedy,0091341
Drama,0091341
Sci-Fi,0091341
Comedy,1540133
Crime,1540133
Thriller,1540133
Action,0120390
Thriller,0120390
Comedy,5121816
Horror,5121816
Thriller,5121816
Animation,0054567
Family,0054567
Sci-Fi,0054567
Horror,0051063
Sci-Fi,0051063
Western,0051063
Documentary,4920450
Animation,4920450
Biography,4920450
Drama,4920450
War,4920450
Documentary,3103620
Fantasy,3103620
History,3103620
Horror,3103620
Action,9707580
Horror,0055894
Sci-Fi,0055894
Animation,0164917
Action,0164917
Adventure,0164917
Sci-Fi,0164917
Thriller,0164917
Drama,0110889
Romance,0110889
Crime,0119196
Mystery,0119196
Thriller,0119196
Fantasy,1085779
Thriller,1085779
Crime,1095217
Drama,1095217
Action,0144714
Adventure,0144714
Crime,0144714
Fantasy,0144714
Sci-Fi,0144714
Thriller,0144714
Action,7034108
Adventure,7034108
Fantasy,7034108
Action,1630029
Adventure,1630029
Sci-Fi,1630029
Thriller,1630029
Comedy,0372532
Romance,0372532
Animation,0347791
Action,0347791
Adventure,0347791
Family,0347791
Fantasy,0347791
Sci-Fi,0347791
Thriller,0347791
Animation,1458674
Short,1458674
Adventure,1458674
Comedy,1458674
Fantasy,1458674
Musical,1458674
Animation,2434578
Short,2434578
Drama,2434578
Fantasy,2434578
Musical,2434578
Comedy,0437863
Sport,0437863
Adventure,0067500
Horror,0067500
Thriller,0067500
Animation,0762125
Adventure,0762125
Comedy,0762125
Family,0762125
Sci-Fi,0762125
Crime,8110232
Drama,8110232
Action,1104123
Adventure,1104123
Fantasy,1104123
Biography,0059635
Drama,0059635
Horror,0059635
Action,12226808
War,12226808
Crime,0078680
Drama,0078680
Mystery,0078680
Action,0078308
Family,0078308
Fantasy,0078308
Comedy,0086525
Romance,0086525
Drama,1778346
Fantasy,1778346
Horror,1778346
Romance,1778346
Sci-Fi,1778346
Comedy,1389137
Drama,1389137
Family,1389137
Adventure,0113028
Family,0113028
Crime,0926762
Drama,0926762
Mystery,0926762
Romance,0926762
Thriller,0926762
Action,3528666
Crime,3528666
Drama,3528666
Thriller,3528666
Comedy,0077975
Comedy,0291341
Crime,0291341
Drama,0291341
Sport,0291341
Animation,0406310
Short,0406310
Action,0406310
Adventure,0406310
Fantasy,0406310
Horror,0406310
Mystery,0406310
Action,6902676
Comedy,6902676
Crime,6902676
Thriller,6902676
Adventure,0037166
Drama,0037166
Romance,0037166
War,0037166
Documentary,8888656
Crime,8888656
Comedy,0111252
Drama,0111252
Comedy,14362698
Drama,14362698
Romance,14362698
Comedy,9054192
Crime,9054192
Animation,3629520
Short,3629520
Sci-Fi,3629520
Action,0098382
Adventure,0098382
Fantasy,0098382
Sci-Fi,0098382
Thriller,0098382
Comedy,0099108
Horror,0099108
Horror,0026663
Romance,0026663
Sci-Fi,0026663
Action,1674782
Drama,1674782
Biography,3513548
Crime,3513548
Drama,3513548
Comedy,4738776
Romance,4738776
Adventure,0460810
Comedy,0460810
Drama,0460810
Comedy,3977848
Horror,3977848
Sci-Fi,3977848
Comedy,0430770
Drama,0430770
Drama,2180271
Sci-Fi,2180271
Thriller,2180271
Animation,0401398
Adventure,0401398
Comedy,0401398
Family,0401398
Musical,0401398
Romance,0401398
Action,0317648
Adventure,0317648
Biography,0317648
Drama,0317648
Sport,0317648
Western,0317648
Adventure,0097630
Sci-Fi,0097630
Animation,0082509
Adventure,0082509
Fantasy,0082509
Sci-Fi,0082509
Biography,1135503
Drama,1135503
Romance,1135503
Sci-Fi,0077065
Crime,0482572
Drama,0482572
Thriller,0482572
Crime,4905554
Drama,4905554
Comedy,0361693
Drama,0361693
Music,0361693
Romance,0361693
Thriller,0361693
Crime,0068282
Drama,0068282
Thriller,0068282
Action,0084887
Adventure,0084887
Sci-Fi,0084887
Comedy,0893509
Crime,0893509
Horror,0053611
Sci-Fi,0053611
Horror,0069715
Drama,0482374
Horror,0482374
Thriller,0482374
Animation,5513260
Adventure,5513260
Comedy,5513260
Family,5513260
Sport,5513260
Action,0363668
Adventure,0363668
Comedy,0363668
Drama,0363668
Sci-Fi,0363668
Thriller,0363668
Adventure,0058530
Sci-Fi,0058530
Comedy,2090883
Crime,2090883
Drama,2090883
Action,0041162
Adventure,0041162
Family,0041162
Sci-Fi,0041162
Action,0080641
Adventure,0080641
Drama,0080641
War,0080641
Adventure,4123430
Family,4123430
Fantasy,4123430
Crime,8561690
Thriller,8561690
Animation,3176418
Short,3176418
Fantasy,3176418
Horror,3176418
Comedy,0185014
Drama,0185014
Action,0858492
Horror,0086036
Thriller,0086036
Drama,0064665
Comedy,0102862
Horror,0102862
Animation,6851660
Drama,0020629
War,0020629
Comedy,3289712
Drama,3289712
Romance,3289712
Action,2490326
Comedy,2490326
Horror,2490326
Sci-Fi,2490326
Thriller,2490326
Crime,0109446
Drama,0109446
Mystery,0109446
Thriller,0109446
Action,1212974
Comedy,1212974
Crime,1212974
Thriller,1212974
Drama,0354356
Romance,0354356
Comedy,2131644
Horror,2131644
Sci-Fi,2131644
Action,1046997
Drama,1046997
War,1046997
Adventure,8385474
Comedy,8385474
Drama,8385474
Family,8385474
Fantasy,8385474
Short,6443526
Action,6443526
Sci-Fi,6443526
War,6443526
Crime,2101441
Drama,2101441
Thriller,2101441
Comedy,0119887
Comedy,0161083
Crime,0161083
Horror,1010271
Mystery,1010271
Thriller,1010271
Drama,0238546
Fantasy,0238546
Horror,0238546
Horror,18765420
Sci-Fi,18765420
Animation,1204343
Adventure,1204343
Comedy,1204343
Mystery,1204343
Comedy,10126434
Horror,10126434
Horror,6490930
Sci-Fi,6490930
Thriller,6490930
Horror,0054067
Drama,14342730
Crime,14342730
Comedy,0171356
Crime,0171356
Romance,0171356
Comedy,0089200
Fantasy,0089200
Horror,0089200
Action,5534434
Comedy,5534434
Horror,5534434
Thriller,5534434
Thriller,12550376
Drama,2373094
Fantasy,2373094
History,2373094
Romance,2373094
Action,0362942
Adventure,0362942
Sci-Fi,0362942
Thriller,0362942
Animation,7089878
Drama,7089878
Fantasy,7089878
Music,7089878
Comedy,0120241
Crime,0120241
Drama,0120241
Mystery,0120241
Thriller,0120241
Action,0403407
Drama,0403407
