nconst,primaryName,birthYear,deathYear
nm6977933,Jan Brandi,\N,\N
nm9489111,Niclas Patrick Bonfils,\N,\N
nm1753621,Kasper Leisner,1975,\N
nm12582235,Nanna Komal Hølmkjær,\N,\N
nm9906009,Jens Erik Meier,\N,\N
nm9489112,Nicolai Jandorf,\N,\N
nm2550903,Natalie Madueño,1987,\N
nm1688064,Rudi Køhnke,1977,\N
nm1494245,Omar Shargawi,\N,\N
nm0000169,Tommy Lee Jones,1946,\N
nm0587396,Christina Milian,1981,\N
nm0307726,Kelli Garner,1984,\N
nm0147825,Cedric the Entertainer,1964,\N
nm0305519,Paula Garcés,1974,\N
nm0444621,Monica Keena,1979,\N
nm1089685,Vanessa Ferlito,1977,\N
nm0000271,Anne Archer,1947,\N
nm0887144,Brian Van Holt,1969,\N
nm0924154,Shea Whigham,1969,\N
nm1296340,Terry Dale Parks,\N,\N
nm0108295,Paget Brewster,1969,\N
nm0940990,Shannon Woodward,1984,\N
nm0890808,Liz Vassey,1972,\N
nm0035664,Curtis Armstrong,1953,\N
nm0721980,Tom Reynolds,\N,\N
nm1752773,Rick Perry,1950,\N
nm0669853,Aaron Pedersen,1970,\N
nm3263707,Tasia Zalar,\N,\N
nm0004134,Tasma Walton,1973,\N
nm0001114,Judy Davis,1955,\N
nm3415084,Jada Alberts,\N,\N
nm0537648,Deborah Mailman,1972,\N
nm0992370,Wayne Blair,1971,\N
nm0612534,Callan Mulvey,1975,\N
nm0295506,Colin Friels,1952,\N
nm7592245,Rob Collins,\N,\N
nm0370892,Anthony Hayes,1977,\N
nm0842251,Gary Sweet,1957,\N
nm1869661,Ursula Yovich,\N,\N
nm5136993,Madeleine Madden,1997,\N
nm1840668,Ngaire Pigram,\N,\N
nm2680937,Mark Mitchinson,1966,\N
nm5096350,Aaron L. McGrath,\N,\N
nm0000576,Sean Penn,1960,\N
nm0000438,Ed Harris,1950,\N
nm0000198,Gary Oldman,1958,\N
nm0000705,Robin Wright,1966,\N
nm0001806,John Turturro,1957,\N
nm0000604,John C. Reilly,1965,\N
nm0130107,R.D. Call,1950,2020
nm0899995,Joe Viterelli,1937,2004
nm0640055,Deirdre O'Connell,1951,\N
nm0820660,Marco St. John,1939,\N
nm0906640,Thomas G. Waites,1955,\N
nm0121613,Michael Cambridge,\N,\N
nm0192054,Michael Cumpsty,1960,\N
nm0192399,Mick Cunningham,\N,\N
nm0642636,Daniel O'Shea,\N,\N
nm0240622,Thomas F. Duffy,1955,\N
nm0864222,Jamie Tirelli,1945,\N
nm0000024,John Gielgud,1904,2000
nm0028674,Harry Andrews,1911,1989
nm0132293,Cheryl Campbell,1949,\N
nm0913243,James Warwick,1947,\N
nm0715010,Joyce Redman,1915,2012
nm0762340,Leslie Sands,1921,2001
nm0349706,Lucy Gutteridge,1955,\N
nm0018776,Terence Alexander,1923,2009
nm0502218,Rula Lenska,1947,\N
nm0780030,Christopher Scoular,1945,2014
nm0341691,James Griffiths,\N,\N
nm0928415,Brian Wilde,1927,2008
nm0063158,Hetty Baynes,1956,\N
nm0898905,John Vine,1951,\N
nm0519278,Robert Longden,1951,\N
nm0936797,Jacob Witkin,1938,2016
nm0255973,Sandor Elès,1936,2002
nm0240403,Norwich Duff,\N,\N
nm1833620,Hanyu Zhang,1964,\N
nm2108643,Eddie Peng,1982,\N
nm0155158,Baoguo Chen,\N,\N
nm0161158,Chun Sun,1956,\N
nm5446923,Wenjuan Feng,\N,\N
nm0516310,Ken Lo,1957,\N
nm7390313,Xudong Wu,\N,\N
nm1259254,Carl Ng,1976,\N
nm4028439,Jian Zhao,\N,\N
nm6572336,Mandy Wei,1984,\N
nm8481579,Xianda Liu,\N,\N
nm10169789,Liguo Zhan,\N,\N
nm3307918,Vithaya Pansringarm,1959,\N
nm10169791,Bhubhing Bhangsa-Ard,\N,\N
nm0598056,Pawarith Monkolpisit,\N,\N
nm10169792,Amigo,\N,\N
nm10169793,Zobra,\N,\N
nm9419402,Guanfeng Wu,\N,\N
nm10672454,Ella Bennett,2002,2007
nm10523156,Charity Lee,\N,\N
nm10523158,Kyla Bennett,\N,\N
nm10826960,Becca Baggenstoss,\N,\N
nm10826962,Donna Kleman,\N,\N
nm10523157,Paris Lee Bennett,\N,\N
nm12180398,Khyman,\N,\N
nm12180399,Phoenix,\N,\N
nm0000532,Malcolm McDowell,1943,\N
nm0050468,Sonja Ball,1956,\N
nm0753447,Howard Ryshpan,1932,\N
nm0000155,Whoopi Goldberg,1955,\N
nm0005177,Howie Mandel,1955,\N
nm0002810,Bobby Edner,1988,\N
nm0285603,Dawn Ford,\N,\N
nm0019226,Marc Alfos,1956,2012
nm0041297,Georges Aubert,1917,2014
nm1313659,Maxime Baudoin,1990,\N
nm9150310,Paul Borne,\N,\N
nm0098928,Raymond Bouchard,1945,\N
nm3117177,Léo Caron,\N,\N
nm0144530,Nacho Castaño,1972,\N
nm1531375,Martin Cloutier,\N,\N
nm0200892,Marie-Christine Darah,\N,\N
nm0169351,Ellen David,\N,\N
nm2011958,François-Nicolas Dolan,\N,\N
nm1246401,Richard Gutierrez,1984,\N
nm1742708,Kathryn Bernardo,1996,\N
nm3981536,Daniel Padilla,1995,\N
nm1283451,Mel Kimura,\N,\N
nm1840689,Mikylla Ramirez,1998,\N
nm6041424,Bernard Carritero,\N,\N
nm9803741,Zyren Dela Cruz,\N,\N
nm1286983,John Lloyd Cruz,1983,\N
nm1246742,Angel Locsin,1985,\N
nm4212988,Sue Ramirez,\N,\N
nm0626222,Victor Neri,\N,\N
nm5138751,Jelson Bay,\N,\N
nm0713398,Ina Raymundo,1978,\N
nm1714943,Joross Gamboa,1984,\N
nm3308659,Bryan Santos,\N,\N
nm9093009,Alaiza Clement,\N,\N
nm10081749,Tyke Sanchez,1999,\N
nm10089031,Kiel Ortega,\N,\N
nm12117144,Alaqua Cox,\N,\N
nm3093760,Ed Morrone,\N,\N
nm7282382,Crash Buist,\N,\N
nm0865302,Tony Todd,1954,\N
nm0000105,Adrienne Barbeau,1945,\N
nm0001236,Meg Foster,1948,\N
nm0301381,Courtney Gains,1965,\N
nm0440885,John Kassir,1957,\N
nm4376653,Paige Sturges,\N,\N
nm1378329,Edward Finlay,\N,\N
nm8279086,Mike Ferguson,\N,\N
nm4594868,Danielle Gross,\N,\N
nm2572743,Sam Mason,\N,\N
nm1229748,Devin Reeve,1974,\N
nm3461802,Stefanie Seifer,\N,\N
nm0001136,Bruce Dern,1936,\N
nm0000708,Billy Zane,1966,\N
nm6509659,Dalton Ibarra,\N,\N
nm10999873,Jamie Portillo,\N,\N
nm0711501,Ivan Rassimov,1938,2003
nm0481714,Me Me Lai,1952,\N
nm0802264,Prasitsak Singhara,\N,\N
nm1100441,Sulallewan Suxantat,\N,\N
nm1094973,Ong Ard,\N,\N
nm1095810,Prapas Chindang,\N,\N
nm1655233,Pipop Pupinyo,\N,\N
nm0856650,Tuan Tevan,\N,\N
nm1658759,Chit,\N,\N
nm1658763,Choi,\N,\N
nm1655377,Song Suanhud,\N,\N
nm1655407,Pairach Thaipradit,\N,\N
nm0018647,Nick Alexander,\N,2004
nm0553916,Luciano Martino,1933,2013
nm0315288,John Getz,1946,\N
nm0000531,Frances McDormand,1957,\N
nm0000445,Dan Hedaya,1940,\N
nm0001826,M. Emmet Walsh,1935,\N
nm0931638,Samm-Art Williams,1946,\N
nm0627029,Deborah Neumann,\N,\N
nm0310490,Raquel Gavia,\N,\N
nm0112295,Van Brooks,\N,\N
nm0545810,Señor Marco,\N,\N
nm0187125,William Creamer,\N,\N
nm0084624,Loren Bivens,\N,\N
nm0563850,Bob McAdams,\N,\N
nm0781420,Shannon Sedwick,\N,\N
